geo country;time;powertrain;relative sales
Estonia;2011;PHEV;0
Estonia;2012;PHEV;0,0003
Estonia;2013;PHEV;0,0003
Estonia;2014;PHEV;0,0009
Estonia;2015;PHEV;0,000699999
Estonia;2016;PHEV;0,0003
Estonia;2017;PHEV;0,000999999
Estonia;2018;PHEV;0,0015
Estonia;2019;PHEV;0,000800001
Estonia;2020;PHEV;0,0036
Estonia;2021;PHEV;0,007299999
Estonia;2022;PHEV;0,019700001
Estonia;2023;PHEV;0,023499999
Finland;2011;PHEV;0
Finland;2012;PHEV;0,0012
Finland;2013;PHEV;0,001299333
Finland;2014;PHEV;0,002300001
Finland;2015;PHEV;0,003800001
Finland;2016;PHEV;0,009999999
Finland;2017;PHEV;0,0213
Finland;2018;PHEV;0,0405
Finland;2019;PHEV;0,052400001
Finland;2020;PHEV;0,137300001
Finland;2021;PHEV;0,204800001
Finland;2022;PHEV;0,198
Finland;2023;PHEV;0,2067
France;2011;PHEV;0
France;2012;PHEV;0,000399333
France;2013;PHEV;0,000500334
France;2014;PHEV;0,0006
France;2015;PHEV;0,0027
France;2016;PHEV;0,0033
France;2017;PHEV;0,0051
France;2018;PHEV;0,0063
France;2019;PHEV;0,008499999
France;2020;PHEV;0,045200001
France;2021;PHEV;0,085299999
France;2022;PHEV;0,0825
France;2023;PHEV;0,091299999
Germany;2011;PHEV;9,99E-05
Germany;2012;PHEV;0,000399
Germany;2013;PHEV;0,0002001
Germany;2014;PHEV;0,001100001
Germany;2015;PHEV;0,003099999
Germany;2016;PHEV;0,003699999
Germany;2017;PHEV;0,008000001
Germany;2018;PHEV;0,008600001
Germany;2019;PHEV;0,0123
Germany;2020;PHEV;0,0684
Germany;2021;PHEV;0,123
Germany;2022;PHEV;0,1356
Germany;2023;PHEV;0,061100001
Greece;2011;PHEV;0
Greece;2012;PHEV;0
Greece;2013;PHEV;0
Greece;2014;PHEV;0
Greece;2015;PHEV;9,99E-05
Greece;2016;PHEV;9,99E-05
Greece;2017;PHEV;0,001400001
Greece;2018;PHEV;0,0015
Greece;2019;PHEV;0,002499999
Greece;2020;PHEV;0,018099999
Greece;2021;PHEV;0,047600001
Greece;2022;PHEV;0,050499999
Greece;2023;PHEV;0,0651
Hungary;2011;PHEV;0
Hungary;2012;PHEV;0,0003
Hungary;2013;PHEV;0
Hungary;2014;PHEV;9,99E-05
Hungary;2015;PHEV;0,000399666
Hungary;2016;PHEV;0
Hungary;2017;PHEV;0,003096666
Hungary;2018;PHEV;0,005000001
Hungary;2019;PHEV;0,006500001
Hungary;2020;PHEV;0,023300001
Hungary;2021;PHEV;0,034299999
Hungary;2022;PHEV;0,043700001
Hungary;2023;PHEV;0,050600001
Ireland;2011;PHEV;0
Ireland;2012;PHEV;0
Ireland;2013;PHEV;9,99E-05
Ireland;2014;PHEV;0,0003
Ireland;2015;PHEV;0,0006
Ireland;2016;PHEV;0,001700001
